Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility,fam_income1
2,37,0,0,0,6,0,1,6,3,3,1,5,1,5,2,0,0,0,0,30,5,4,5,5,0,2,9,8,3,5,1,1,3,44968,17083,3,0,1,11
2,35,1,1,1,4,0,1,9,4,0,1,5,1,70,2,0,0,0,0,120,3,3,1,3,0,2,8,10,3,4,1,2,3,44968,17083,3,0,1,11
2,35,1,0,0,4,0,1,9,0,3,1,5,1,80,2,1,0,1,1,0,8,5,5,5,0,5,0,10,3,4,0,2,1,56995,12541,2,0,1,11
2,35,0,0,0,4,0,1,6,0,3,1,3,1,56,1,0,1,0,0,120,6,4,3,4,0,3,8,8,3,4,0,2,1,56995,12541,2,0,1,11
2,55,1,1,0,4,0,1,9,1,3,1,4,1,56,2,0,0,1,0,60,6,2,3,5,0,4,5,5,3,4,1,2,1,56995,12541,2,0,1,11
2,38,1,1,0,6,0,1,9,4,9,1,4,1,70,1,1,0,0,0,480,5,1,1,4,0,3,10,10,5,2,0,1,1,56995,12541,2,0,1,10
2,34,0,1,0,6,0,1,0,4,9,1,4,1,40,2,0,0,1,1,240,5,3,5,4,0,2,10,10,1,4,0,1,1,56995,12541,2,0,1,10
2,42,1,0,0,1,0,1,9,4,0,0,5,1,80,2,0,1,1,0,150,4,3,3,5,0,4,10,10,5,3,1,4,2,73675,16882,2,0,1,12
2,34,0,1,1,4,1,1,16,4,0,1,5,2,40,2,1,0,0,1,120,6,5,5,5,0,4,7,3,3,4,1,3,3,44968,17083,3,0,1,12
1,48,0,1,0,3,1,1,12,1,3,1,4,1,50,5,0,0,0,0,30,6,3,3,4,0,3,8,6,3,4,1,4,1,56995,12541,2,0,1,12
1,49,1,1,1,3,1,1,15,1,3,1,5,2,40,5,0,0,1,1,240,6,5,2,3,0,5,10,10,3,4,1,4,1,56995,12541,2,0,1,12
2,42,1,1,0,2,1,1,6,1,3,1,5,1,84,2,1,0,1,0,0,5,3,1,3,0,3,9,10,1,4,1,2,2,51096,17593,2,0,1,11
2,41,0,1,0,2,1,1,9,1,3,1,5,1,96,2,0,0,1,0,120,3,1,1,5,0,2,10,5,1,3,1,2,2,51096,17593,2,0,1,11
2,55,1,1,0,2,0,1,9,2,3,1,5,1,84,4,0,0,0,0,30,5,1,5,5,0,3,5,5,3,4,0,4,1,68775,14919,2,0,1,12
2,43,0,1,0,4,1,1,12,4,6,1,5,1,70,2,1,0,0,0,180,4,3,4,3,0,4,5,5,3,4,1,1,1,119235,20028,2,0,1,11
2,47,1,1,0,4,1,1,6,4,6,1,3,1,72,5,0,1,1,1,0,4,3,4,5,0,3,8,5,5,4,1,1,1,119235,20028,2,0,1,11
1,42,1,1,1,3,1,1,16,3,4,0,3,2,60,5,0,0,0,0,300,3,2,5,1,0,1,10,4,3,4,1,3,1,119235,20028,2,0,1,12
2,58,1,1,1,3,1,1,15,9,1,1,4,2,40,5,0,0,0,0,120,6,3,2,2,0,3,8,6,3,4,1,4,1,119235,20028,2,0,1,12
2,49,0,1,0,3,1,1,16,9,1,1,4,2,40,5,0,0,0,0,180,7,3,3,4,0,4,5,5,3,3,1,4,1,119235,20028,2,0,1,12
1,41,0,1,0,3,1,1,16,1,1,1,2,2,40,5,0,1,1,0,360,5,2,4,2,0,5,8,8,3,5,1,4,1,119235,20028,2,0,1,12
2,36,1,1,0,6,0,1,6,0,10,1,5,2,40,5,1,1,1,1,360,9,4,1,4,0,3,6,5,3,4,1,3,1,119235,20028,2,0,1,12
2,50,1,1,0,2,1,1,15,0,1,1,3,2,26,5,0,0,0,0,30,5,2,4,3,0,4,6,6,2,4,1,4,1,119235,20028,2,0,1,12
1,39,0,1,0,3,1,1,12,3,0,0,4,1,56,2,1,1,1,0,60,5,1,2,2,0,4,10,10,3,4,1,3,1,119235,20028,2,0,1,12
2,42,1,1,0,3,0,0,12,3,0,1,4,1,30,0,0,0,1,0,300,5,3,3,4,0,2,5,3,2,4,1,3,1,119235,20028,2,0,1,12
1,43,1,1,0,3,1,1,12,1,4,1,5,1,80,2,0,0,0,0,120,1,2,3,1,0,1,9,5,3,2,1,4,1,119235,20028,2,0,1,12
1,42,0,1,0,3,1,1,16,1,4,1,4,1,60,2,1,1,1,0,120,5,2,2,4,0,3,4,2,3,2,1,4,1,119235,20028,2,0,1,12
2,40,1,1,0,4,1,1,15,1,0,1,5,1,10,2,1,0,0,0,120,5,4,4,2,0,1,5,5,3,2,1,4,1,119235,20028,2,0,1,12
1,56,1,1,0,2,1,1,9,5,3,0,5,1,4,2,0,0,1,1,0,5,3,2,1,0,3,0,7,3,2,1,4,1,119235,20028,2,0,1,12
2,55,1,1,0,2,1,1,9,3,7,1,5,1,10,2,0,0,0,1,60,6,4,2,2,0,4,10,10,3,4,1,4,1,119235,20028,2,0,1,12
2,60,1,1,0,3,1,1,9,0,3,1,5,1,35,2,0,0,0,0,0,7,3,2,4,0,4,8,8,3,5,1,4,1,119235,20028,2,0,1,12
2,42,1,1,1,4,1,1,16,2,0,1,4,2,35,5,0,0,1,0,240,6,4,4,4,0,2,8,7,3,4,1,4,1,119235,20028,2,0,1,13
2,44,0,1,0,4,1,1,16,2,0,1,4,2,35,5,0,0,1,0,120,6,4,2,3,0,4,8,7,3,4,1,4,1,119235,20028,2,0,1,13
